,Conteudo
0,o pastor petista da comunidade de jesus em campina grande jose barbosa disse que dos evangelicos sao e propos a criacao de uma enorme de evangelicos de para atrair a fatia restante desse publico para o a fala foi feita nesta durante participacao do pastor em um painel sobre politicas de direitos para mudar o brasil da conferencia eleitoral do para que aconteceu em no mesmo o presidente lula defendeu que a legenda precisa se aproximar dos evangelicos e fazer o de para conseguir eleger mais candidatos no proximo luta da ideologia a gente tem como ganhar tambem por entre os evangelicos nao pense que esta tudo perdido tem dos evangelicos que sao fascistas com esses a gente nem conversa tem que estao em disputa entao nao vamos desistir o nucleo de evangelicos do esta ativo a gente nao quer furar a bolha a gente quer criar uma bolha enorme de evangelicos de esquerda da para chegar la e rumo a vitoria em afirmou o ao comentar sobre as criticas que recebe por ser um pastor evangelico de jose barbosa disse que as criticas deveriam ser dirigidas aos pastores que se identificam com a direita segundo esses pastores defendem sistema baseado na acumulacao de que seria contra os ensinamentos do ao citar um trecho do texto biblico em que jesus cristo ensina sobre o socorro aos mais jose barbosa evocou para o o monopolio da o seguinte eu tive me deu de comer eu tive voce me deu de beber eu estava voce me vestiu eu era voce me acolheu eu estava voce me visitou eu estava voce pregou de mim uma politica a partir do quem tem da de comer
1,o presidente luiz inacio lula da silva deixou a presidencia rotativa do mercosul nesta quinta sem conseguir fechar o tao desejado acordo comercial com a uniao europeia e reconheceu que o andamento do bloco nao tem consenso entre os paises lula passou o comando do bloco para o presidente santiago afirmando que tem que os mandatarios de cada pais sejam trocados a cada quatro anos e que tenham visoes diferentes sobre a conducao das relacoes comerciais um mais a um mais a um mais um mais contra um dia a gente vai encontrar o denominador disse lula em discurso na cupula do que terminou no rio de o petista disse ter uma expectativa para a presidencia de pena no bloco para seguir nas negociacoes com os na integracao dos paises da america latina e nas relacoes com a africa sabe que eu sou um fanatico pela relacao com a ate porque eu acho que o brasil tem uma divida historica com a africa e nos temos que transferindo afirmou o presidente por outro pena fez um caminho contrario e disse que pretende olhar mais para dentro do bloco do que dar tanta atencao ao exterior o mandatario paraguaio pregou um desenvolvimento maior das relacoes comerciais entre os paises latinos e que eles estao melhor regiao do mundo e com maior neste ponto convergindo com lula no objetivo de uma maior integracao a sonhar que podemos voltar a nestes grandes desafios enquanto regiao em guarani tem uma frase que diz que e e nao quero dizer isso no sentido de que nao queremos avancar com a uniao europeia queremos mas acho que nos basta parar de olhar para fora e comecar a olhar mais para por outro pena tambem expressou que um problema que um pais vizinho possa ter citando a que passa a ser presidida pelo libertario javier milei a partir de domingo nao e apenas um restrito a esse mas e um para existe mercosul onde apenas alguns tenham um bom desempenho e os ciclos economicos nao afetem de forma diferente os problemas atuais que a irma argentina pode ter nao sao os problemas da sao os problemas de todos os paises do alem do que pretende reforcar as relacoes entre os paises do o uruguai tambem nao e mais um grande defensor do mercosul
2,enquanto aumentam as tensoes por conta das ameacas de invasao feitas pelo ditador da nicolas contra a a esquerda brasileira se divide entre o silencio e manifestacoes de apoio ao ditador o problema segue ainda sem uma sinalizacao clara do presidente lula e do seu o na noite da o presidente da mohamed irfaan disse que conversou lula e o petista teria assegurado que o brasil fortemente a e veria nenhum comportamento imprudente da tres dias antes da declaracao do presidente irfaan lula pediu da venezuela e da guiana igualmente no mesmo a venezuela realizou um referendo sobre a disputa vencendo a vontade de maduro com dos no fim da manha desta quinta durante abertura da cupula do no rio de lula disse que o continente precisa de procurado pela gazeta do o partido dos trabalhadores silenciou sobre a posicao da sigla em relacao ao procurados pelo o e o partidos que integram a base do tambem optaram pelo silencio ate o fechamento desta questionado pela o disse que que o brasil atue no esforco por uma solucao diplomatica para a questao do territorio reivindicado por maduro e que corresponde a de toda a ja o partido comunista do brasil e o partido da causa operaria se manifestaram abertamente sobre o tema em suas plataformas na imprensa capitalista tem acusado maduro de realizar uma isto de trazer a tona a questao do essequibo apenas para esconder uma crise de popularidade de uma que ja e parte da campanha de guerra do imperialismo contra a venezuela nao ha indicios de que maduro va ocupar militarmente essequibo neste momento ao que o referendo e parte de uma campanha politica que o governo venezuelano esta promovendo para o afirmou o pco em artigo publicado em seu o disse ser contra a mas lembrou da fraude no laudo arbitral de 1899 que impediu a anexacao do territorio da guiana pela venezuela e que hoje e reivindicado por central para mim e informar as pessoas que ha uma origem nessa com o laudo arbitral de que posteriormente foi revelado como fraudulento e bem tipico dos grandes imperios
3,a confederacao nacional da agricultura e pecuaria avalia que o relacionamento do responsavel por quase um quarto do produto interno bruto com o governo era melhor na gestao do jair bolsonaro do que na do presidente luiz inacio lula da silva mais ministros ligados a disse o presidente da joao em evento da cna em brasilia nesta por outro ele acredita que o ministro da carlos feito um bom nesse primeiro ano de destacando a manutencao da politica de abertura de mercados a producao brasileira que vem de governos anteriores o dia foram abertos 73 citou
4,o presidente luiz inacio lula da silva admitiu judicialmente ter cometido uma irregularidade em 2017 em uma obra no sitio em sao bernardo do campo segundo apuracao publicada nesta quarta pelo jornal o estado de sao paulo com base nos autos de houve uma retirada de terra supostamente sem a devida autorizacao da prefeitura em uma area ambientalmente o que resultou em uma disputa judicial que se estendeu desde a defesa de lula negou a infracao ambiental e disse que a autuacao foi origem em que o presidente corretamente a guia de arrecadacao mas que o alvara teria computado a terraplanagem necessaria para o apos um acordo entre a defesa de lula e o executivo lula concordou em pagar uma multa de em decorrencia da infracao o que se arrastava ha quatro foi encerrado com a adesao ao plano de regularizacao tributaria de sao bernardo do campo os valores atualizados da em alcancaram mas lula se beneficiara de uma reducao de dos multa e acrescimos compensatorios ao quitar a divida a vista ou em ate seis parcelas mensais o sitio esta localizado em uma area de protecao e recuperacao dos mananciais do reservatorio da represa billings vale ressaltar que este sitio nao esta vinculado as acusacoes da operacao lava jato sobre a propriedade de um sitio em atibaia atribuida a executado jamais cometeu qualquer infracao contra o meio disse a defesa de o embasamento legal para a multa foi um decreto de do luiz marinho que proibe terraplanagem sem autorizacao dos orgaos ambientais competentes o auto de infracao de 2017 apontou a retirada de 1358 m3 de terra do contrariando o alvara de construcao que autorizava apenas uma edificacao nivelada por a defesa de lula buscou cancelar a multa ate outubro de alegando que o presidente nao cometeu ato mas a questao era burocratica os advogados afirmaram nao ter acesso integral aos autos e questionaram a comprovacao da formula de calculo do volume de terra a prefeitura emitiu um alvara em reduzindo o volume de terraplanagem para o relatorio de fiscalizacao ambiental de novembro de 2017 revelou a presenca de terra retirada do sitio a prefeitura chegou a em abril de a penhora de bens de lula para quitar o debito
5,o ministro da flavio afirmou nesta que a operacao de combate ao trafico internacional de armas afeta as duas maiores faccoes criminosas do brasil nesta a policia em parceria com autoridades deflagrou a operacao dakovo para desbaratar uma uma quadrilha suspeita de enviar 43 mil armas entre 2019 e 2022 para faccoes acao com o paraguai fara com que as duas maiores faccoes que eram as destinatarias principais desses armamentos tenham o fechamento dessa via logistica para a realizacao da suas disse dino em coletiva a imprensa sobre o balanco da operacao para o os resultados marcam uma fase do combate ao crime organizado no ate o foram cumpridos 19 mandados de prisao no brasil e 14 no e 38 mandados de busca e apreensao no brasil e 21 no de acordo com o ministerio da desde o inicio das a empresa investigada em tres cerca de bilhao na tambem foram bloqueados 66 milhoes em bens e valores no com o objetivo de identificar a lavagem de dinheiro oriunda de as armas eram importadas pela international auto supply company com sede em assuncao de propriedade do argentino diego hernan dirisio a casa dele foi alvo de mandados de busca e mas conseguiu fugir da policia o superintendente da pf na flavio afirmou que os policiais estao realizando diligencias para localizar dirisio no o mandado de prisao foi expedido por um colegiado de juizes da justica federal do foram imputados ao argentino cerca de 30 fatos de trafico internacional de alem dos crimes de organizacao criminosa e lavagem de informou investigado e o dono da ele coordenada todas as operacoes da ele atua diretamente na venda e fazia tratativas diretas da compra e revenda com consciencia de que essas armas estavam sendo destinadas ao crime disse o superintendente da ressaltando que o papel de dirisio no esquema foi comprovado pela investigacao ele afirmou que o esquema foi possivel por de corrupcao nos orgao de controle dentro do segundo o trabalho desempenhado pela investigacao e a garantia da lei e da ordem em portos e aeroportos o ministro da justica destacou o trabalho de inteligencia desempenhado pelas autoridades de que resultou em uma operacao sem trabalho investigativo profissional substitui com muito exito dezenas de operacoes que eram feitas com tiros e que as nas famosas balas perdidas nao houve o disparo de um unico tiro nao houve uma unica bala perdida isso e combater o crime organizado de disse albergaria afirmou que a investigacao comecou em 2020 a partir da apreensao de 25 armas em vitoria da conquista apos pericia foi identificado que todas as armas tinham origem de uma empresa importadora do que comprava armamento da republica tcheca e e revendia para quadrilhas brasileiras ha indicativos de participacao de doleiros e empresas de fachada dos estados unidos no identificar o numero de serie e rastreamos a origem encontramos varias outras armas do mesmo fabricante e demos inicio a apuracao do trafico internacional de armas de fogo a partir nos deparamos com grandes remessas de armas da europa para o onde eram raspadas e recebiam carimbos para dissimular a verdadeira origem estas armas eram passadas a grupos intermediarios que atuam na fronteira e revendidas as duas maiores faccoes do disse albergaria
6,o presidente do tribunal superior eleitoral alexandre de negou recurso extraordinario apresentado pela defesa do jair bolsonaro contra a sentenca que deixou o inelegivel por oito o recurso e apresentado ao supremo tribunal federal mas cabe ao presidente do tse ao supremo ou moraes ao mesmo presidente do tse e ministro da suprema no a defesa de bolsonaro alegou que a decisao contra o contraria precedentes estabelecidos em decisoes anteriores do stf e do os advogados do cobram do tse o mesmo entendimento que lastreou a decisao do caso em ao julgar a cassacao dos dilma rousseff e michel temer a corte nao admitiu a inclusao de elementos que nao estavam nos autos desde o inicio do processo no caso de o da agregou as manifestacoes de 8 de janeiro dentro do processo o pedido foi aceito pelo relator do caso no o ministro benedito a acao inicial pede a inelegibilidade de bolsonaro por abuso de poder politico e dos meios de comunicacao pela reuniao do com embaixadores em 2022 o evento foi transmitido pela tv veiculo para o julgamento do nao envolveu de do tribunal nem apresentou
7,ao comentar sobre o estado de saude do coronel jorge eduardo do departamento de operacoes da policia militar do distrito federal preso desde o dia 7 de fevereiro por suposta omissao para conter os atos de 8 de o deputado nikolas ferreira disse que o coronel esta sofrendo e chamou de as medidas adotadas pelo ministro do supremo tribunal federal alexandre de contra acusados de participacao no acionamos a conversamos com os fizemos de tudo que pudesse ser feito mas nao ha meios legais contra a tirania o que estao fazendo com o coronel naime e tortura solte esse homem para que outra familia nao venha chorar mais uma escreveu o deputado na social nesta ao lembrar do caso cleriston pereira preso do que faleceu na a publicacao de nikolas foi feita momentos depois que o coronel precisou ser levado para o hospital com dores no foi a terceira vez em menos de uma semana que o militar precisou receber atendimento o militar tambem passou mal no ultimo dia 28 e na sexta na semana a equipe medica detectou um trombo na veia na regiao do informou a revista segundo a esposa do mariana adorno o militar tem sofrido com nos bracos e dor de e alem no dia 13 de ele teve uma queda de pressao ao tentou se apoiar num que acabou caindo sobre o que o fez ser conduzido ao hospital em 24 de naime voltou a necessitar de atendimento mas nao precisou ser levado ao mesmo de ferias no dia 8 de o coronel naime deixou sua residencia para ajudar a conter os manifestantes durante a acao o militar chegou a ser ferido com o disparo de um rojao
8,o presidente luiz inacio lula da silva sinalizou nesta segunda que pode ter planos de continuar na presidencia da republica ate o que pode confirmar a intencao de se candidatar a reeleicao em 2026 a afirmacao foi dada durante uma coletiva de imprensa junto do alemao olaf em com quem se reuniu pela manha para tratar de negocios bilaterais e o avanco do acordo entre o mercosul e a uniao a declaracao segue em linha com o que o ja havia divulgado na resolucao do partido para as eleicoes municipais de em de que sera um estrategico para a construcao de uma solida alianca popular e democratica que promova a reconducao do governo lula em a intencao de lula em disputar a reeleicao foi dada no momento em que comentava com scholz as politicas ambientais que vem implementando no como o de zerar o desmatamento ilegal da floresta amazonica ate no meu em 2030 eu quero entregar ao mundo desmatamento zero na amazonia para que as pessoas saibam que e possivel a gente cuidar do planeta que nos da lula sempre evitou comentar se pretendia disputar a reeleicao em mas nunca negou a intencao no comeco do em meados de ele sinalizou essa afirmando que chegar no e estiver uma situacao delicada e eu estiver com porque tambem so posso ser candidato se eu estiver com a saude saude perfeita com oitenta e 81 de energia de 40 e tesao de 30 ai eu posso a as falas nao tao mas tambem sem contrastam com o que declarou ao longo de toda a campanha eleitoral de em que nao concorreria a reeleicao em 2026 nao vou ser um presidente da republica que esta pensando na sua reeleicao eu vou ser o presidente que vou estar pensando em governar este pais por quatro anos e tinindo para que o povo brasileiro recupere definitivamente o a o prazer de o prazer de ser o prazer de ser disse em julho do ano passado a radio da em outra entrevista no mesmo mes ao lula afirmou que nao concorreria em 2026 por conta da idade avancada que tera 81 anos e que antes ja nao pretendia sequer disputar o terceiro mandato no ano passado
9,a camara dos deputados restringiu o acesso do influencer bernardo moreira as dependencias da casa depois da confusao causada pelo influencer na semana quando moreira ofendeu o deputado nikolas ferreira ao abordar o parlamentar nos corredores da moreira chamou nikolas de e disse que o deputado videos que circulam pelas redes sociais mostram o momento da confusao ao reagir as provocacoes do nikolas acionou a policia legislativa e disse que o influencer teria mentido ao afirmar que trabalhava na para ter acesso ao um servidor publico durante o servico dele e crime atacar um deputado durante o servico dele e seu genio voce nao conhece o codigo penal voce xingar um deputado em exercicio do trabalho e disse nikolas ao pedir para que a policia conduzisse o durante a moreira continuou debochando do deputado e reivindicando de caso o ministerio publico federal entenda que houve crime na conduta do moreira podera responder por difamacao e injuria contra o pelas redes moreira ironizou a atitude do como a de expressao so funciona para contar fake news e atacar de resto os defensores dela escreveu o influencer na social nesta a expressao usada por moreira para ofender o deputado faz referencia a uma sucessao de eventos ocorridos ainda em marco deste em discurso proferido no dia internacional das nikolas usou uma peruca para falar como e denunciar as contradicoes da ideologia de apos o o deputado foi vitima de diversos ataques homofobicos por parte de outros durante audiencia na no fim de o deputado andre janones aliado do presidente luiz inacio lula da silva chamou nikolas ferreira de e segundo quem teria criado o rotulo de seria o influenciador petista felipe integrante do grupo de trabalho criado pelo ministerio dos direitos do governo para combater o de nas redes sociais
10,o presidente luiz inacio lula da silva participou nesta da cerimonia de credenciamento do instituto de matematica pura e aplicada como instituicao de educacao no rio de janeiro em seu ele destacou a importancia de investimentos na educacao publica de qualidade um preconceito contra as escolas publicas no brasil as pessoas nao conhecem nem os seus filhos nao estudam disse lula mesma forma que o estudante de escola privada tera uma melhor qualidade de queremos abrir a porta para aqueles que nao tem a mesma oportunidade do o presidente lula tambem afirmou que os investimentos em educacao nao devem ser tratados como gastos nao e e disse ele citou o exemplo de paises asiaticos que investiram na qualidade da educacao e pediu maior foco em materias como matematica
